t,hu,xi
30.58,-859,205
30.59,-854,211
30.6,-810,207
30.61,-798,196
30.62,-764,199
30.63,-746,206
30.64,-716,184
30.65,-704,192
30.66,-658,189
30.67,-644,201
30.68,-623,186
30.69,-595,184
30.7,-577,180
30.71,-556,181
30.72,-539,183
30.73,-510,184
30.74,-488,173
30.75,-455,173
30.76,-437,170
30.77,-409,166
30.78,-400,164
30.79,-368,158
30.8,-360,161
30.81,-333,148
30.82,-323,146
30.83,-304,133
30.84,-292,136
30.85,-266,124
30.86,-262,131
30.87,-238,117
30.88,-232,123
30.89,-221,104
30.9,-213,102
30.91,-191,98
30.92,-175,104
30.93,-168,104
30.94,-161,89
30.95,-150,86
30.96,-137,87
30.97,-126,85
30.98,-120,83
30.99,-114,80
31,-101,74
31.01,-101,74
31.02,-91,65
31.03,-93,66
31.04,-67,56
31.05,-76,74
31.06,-62,73
31.07,-76,76
31.08,-60,63
31.09,-64,66
31.1,-62,64
31.11,-54,55
31.12,-55,54
31.13,-55,52
31.14,-51,49
31.15,-48,51
31.16,-45,47
31.17,-50,50
31.18,-39,44
31.19,-44,45
31.2,-44,42
31.21,-35,44
31.22,-40,50
31.23,-32,41
31.24,-41,49
31.25,-35,42
31.26,-39,47
31.27,-31,42
31.28,-39,50
31.29,-32,37
31.3,-35,45
31.31,-33,39
31.32,-42,41
31.33,-37,39
31.34,-35,37
31.35,-35,38
31.36,-37,35
31.37,-31,38
31.38,-35,41
31.39,-33,36
31.4,-32,38
31.41,-30,38
31.42,-27,39
31.43,-31,46
31.44,-26,35
31.45,-35,45
31.46,-31,39
31.47,-32,47
31.48,-29,42
31.49,-41,54
31.5,-40,48
31.51,-49,60
31.52,-57,61
31.53,-84,80
31.54,-111,91
31.55,-140,128
31.56,-179,193
31.57,-228,264
31.58,-282,335
31.59,-334,400
31.6,-268,460
31.61,-31,506
31.62,-32,419
31.63,-29,416
31.64,-29,451
31.65,-21,483
31.66,-26,507
31.67,-11,524
31.68,-28,569
31.69,-21,578
31.7,-20,612
31.71,-21,632
31.72,-30,658
31.73,-16,683
31.74,-22,718
31.75,-19,734
31.76,-12,730
31.77,-24,739
31.78,-25,738
31.79,-19,738
31.8,-19,740
31.81,-34,733
31.82,-29,728
31.83,-30,711
31.84,-27,698
31.85,-12,690
31.86,-12,687
31.87,-17,670
31.88,-15,651
31.89,-19,644
31.9,-12,641
31.91,-26,628
31.92,-11,610
31.93,-26,605
31.94,-14,581
31.95,-28,572
31.96,-41,551
31.97,-32,535
31.98,-28,509
31.99,-16,509
32,-19,495
32.01,-27,473
32.02,-34,468
32.03,-22,444
32.04,-19,437
32.05,-16,406
32.06,-23,408
32.07,-12,399
32.08,-36,390
32.09,-21,363
32.1,-24,368
32.11,-3,342
32.12,-14,339
32.13,-20,310
32.14,-13,311
32.15,-3,292
32.16,-27,281
32.17,-24,263
32.18,-33,268
32.19,-28,253
32.2,-669,244
32.21,-1599,272
32.22,-1607,762
32.23,-1587,803
32.24,-1568,776
32.25,-1556,743
32.26,-1529,700
32.27,-1514,653
32.28,-1496,624
32.29,-1479,595
32.3,-1464,561
32.31,-1433,542
32.32,-1428,496
32.33,-1414,487
32.34,-1384,466
32.35,-1367,444
32.36,-1346,402
32.37,-1328,414
32.38,-1320,379
32.39,-1311,366
32.4,-1289,349
32.41,-1269,335
32.42,-1235,315
32.43,-1225,310
32.44,-1198,299
32.45,-1187,281
32.46,-1151,275
32.47,-1138,267
32.48,-1113,257
32.49,-1084,248
32.5,-1061,242
32.51,-1036,232
32.52,-1019,235
32.53,-979,218
32.54,-977,226
32.55,-924,218
32.56,-924,223
32.57,-896,215
32.58,-867,217
32.59,-845,209
32.6,-818,209
32.61,-789,200
32.62,-772,193
32.63,-746,199
32.64,-715,198
32.65,-683,194
32.66,-659,192
32.67,-645,196
32.68,-622,190
32.69,-590,188
32.7,-576,188
32.71,-546,181
32.72,-520,178
32.73,-517,182
32.74,-474,175
32.75,-457,183
32.76,-429,175
32.77,-414,175
32.78,-388,161
32.79,-377,170
32.8,-352,158
32.81,-340,155
32.82,-322,147
32.83,-310,140
32.84,-291,140
32.85,-273,133
32.86,-255,124
32.87,-246,122
32.88,-233,116
32.89,-223,110
32.9,-205,104
32.91,-190,98
32.92,-169,88
32.93,-162,102
32.94,-155,99
32.95,-135,91
32.96,-134,98
32.97,-115,92
32.98,-118,95
32.99,-103,84
33,-104,87
33.01,-92,74
33.02,-96,76
33.03,-81,66
33.04,-72,70
33.05,-69,74
33.06,-67,77
33.07,-68,72
33.08,-61,64
33.09,-59,65
33.1,-59,63
33.11,-51,59
33.12,-50,61
33.13,-50,58
33.14,-45,56
33.15,-44,56
33.16,-32,54
33.17,-40,62
33.18,-31,51
33.19,-42,58
33.2,-31,51
33.21,-36,58
33.22,-33,51
33.23,-32,53
33.24,-28,46
33.25,-33,54
33.26,-34,48
33.27,-35,47
33.28,-34,46
33.29,-34,44
33.3,-33,43
33.31,-33,44
33.32,-33,42
33.33,-33,43
33.34,-44,41
33.35,-32,35
33.36,-30,43
33.37,-24,42
33.38,-31,49
33.39,-22,41
33.4,-30,50
33.41,-18,44
33.42,-30,51
33.43,-24,41
33.44,-30,49
33.45,-24,42
33.46,-36,49
33.47,-35,46
33.48,-36,47
33.49,-34,47
33.5,-43,51
33.51,-48,54
33.52,-67,65
33.53,-83,74
33.54,-109,92
33.55,-140,131
33.56,-177,193
33.57,-229,276
33.58,-275,336
33.59,-332,402
33.6,-256,449
33.61,-23,520
33.62,-14,412
33.63,-27,434
33.64,-20,448
33.65,-24,480
33.66,-10,497
33.67,-22,532
33.68,-21,555
33.69,-26,591
33.7,-23,603
33.71,-24,629
33.72,-27,650
33.73,-27,672
33.74,-32,698
33.75,-31,721
33.76,-31,723
33.77,-33,733
33.78,-38,719
33.79,-37,719
33.8,-34,725
33.81,-32,714
33.82,-42,733
33.83,-33,702
33.84,-43,682
33.85,-33,677
33.86,-56,683
33.87,-36,642
33.88,-26,651
33.89,-38,619
33.9,-40,630
33.91,-42,587
33.92,-62,594
33.93,-65,552
33.94,-54,551
33.95,-63,533
33.96,-51,505
33.97,-56,506
33.98,-56,497
33.99,-65,455
34,-33,468
34.01,-43,453
34.02,-69,434
34.03,-39,414
34.04,-48,398
34.05,-68,407
34.06,-39,371
34.07,-58,372
34.08,-62,342
34.09,-53,331
34.1,-38,343
34.11,-48,312
34.12,-48,312
34.13,-48,305
34.14,-52,280
34.15,-66,251
34.16,-62,251
34.17,-47,242
34.18,-47,225
34.19,-57,231
34.2,-670,212
34.21,-1599,276
34.22,-1608,741
34.23,-1583,798
34.24,-1574,779
34.25,-1562,712
34.26,-1542,715
34.27,-1512,657
34.28,-1501,634
34.29,-1488,591
34.3,-1452,564
34.31,-1449,532
34.32,-1427,518
34.33,-1401,472
34.34,-1388,463
34.35,-1363,433
34.36,-1356,412
34.37,-1339,385
34.38,-1321,365
34.39,-1295,369
34.4,-1275,352
34.41,-1248,328
34.42,-1233,322
34.43,-1225,299
34.44,-1200,291
34.45,-1180,296
34.46,-1148,272
34.47,-1136,277
34.48,-1099,249
34.49,-1096,253
34.5,-1064,232
34.51,-1051,240
34.52,-1021,225
34.53,-1002,226
34.54,-968,219
34.55,-948,221
34.56,-930,211
34.57,-904,209
34.58,-878,209
34.59,-851,204
34.6,-825,198
34.61,-782,191
34.62,-768,200
34.63,-743,195
34.64,-712,192
34.65,-689,195
34.66,-670,190
34.67,-634,194
34.68,-612,193
34.69,-603,186
34.7,-580,189
34.71,-543,176
34.72,-532,193
34.73,-497,178
34.74,-495,187
34.75,-442,170
34.76,-438,178
34.77,-414,167
34.78,-398,162
34.79,-376,161
34.8,-355,154
34.81,-341,148
34.82,-323,147
34.83,-307,145
34.84,-291,134
34.85,-277,128
34.86,-259,118
34.87,-246,122
34.88,-222,116
34.89,-218,120
34.9,-200,104
34.91,-195,104
34.92,-163,93
34.93,-167,109
34.94,-149,95
34.95,-140,96
34.96,-120,94
34.97,-126,101
34.98,-115,89
34.99,-109,86
35,-104,79
35.01,-100,74
35.02,-94,70
35.03,-79,63
35.04,-67,66
35.05,-72,79
35.06,-67,75
35.07,-65,68
35.08,-63,67
35.09,-50,66
35.1,-55,71
35.11,-43,59
35.12,-52,71
35.13,-43,60
35.14,-44,62
35.15,-35,54
35.16,-42,62
35.17,-33,55
35.18,-37,58
35.19,-37,52
35.2,-36,56
35.21,-35,62
35.22,-33,49
35.23,-32,48
35.24,-35,44
35.25,-35,48
35.26,-46,45
35.27,-33,48
35.28,-35,47
35.29,-35,48
35.3,-31,48
35.31,-26,49
35.32,-23,46
35.33,-31,53
35.34,-23,44
35.35,-30,50
35.36,-19,44
35.37,-27,54
35.38,-21,46
35.39,-28,52
35.4,-22,43
35.41,-27,51
35.42,-28,42
35.43,-29,43
35.44,-26,43
35.45,-30,43
35.46,-25,43
35.47,-29,49
35.48,-27,47
35.49,-35,45
35.5,-42,52
35.51,-44,58
35.52,-63,70
35.53,-71,78
35.54,-107,105
35.55,-128,134
35.56,-171,202
35.57,-224,277
35.58,-276,346
35.59,-321,395
35.6,-267,468
35.61,-18,510
35.62,-29,425
35.63,-23,428
35.64,-24,446
35.65,-23,482
35.66,-24,502
35.67,-14,525
35.68,-17,547
35.69,-30,595
35.7,-24,610
35.71,-20,635
35.72,-29,658
35.73,-30,675
35.74,-42,696
35.75,-33,708
35.76,-26,725
35.77,-47,721
35.78,-51,707
35.79,-63,712
35.8,-51,694
35.81,-52,706
35.82,-39,694
35.83,-63,692
35.84,-39,655
35.85,-65,686
35.86,-45,639
35.87,-45,650
35.88,-48,635
35.89,-50,626
35.9,-35,614
35.91,-31,616
35.92,-34,590
35.93,-23,574
35.94,-36,566
35.95,-31,551
35.96,-37,536
35.97,-36,518
35.98,-49,505
35.99,-39,490
36,-40,478
